collection,is_homepage,title,slug,permalink,schema_type,excerpt,order,keywords,media_hero,media_alt,references,album,body_md
taglines,False,Revenge trading,revenge-trading-revenge-trading,/taglines/revenge-trading-revenge-trading/,CreativeWork,,,revenge trading,,,revenge trading,,"Revengeful trading,
our lives."
taglines,False,A Maze,maze-amazing,/taglines/maze-amazing/,Statement,,,"amazing, maze",,,"amazing, maze",,"Amazing
always
has a maze
inside."
taglines,False,Deconspire,deconspire-conspiracy-theory,/taglines/deconspire-conspiracy-theory/,CreativeWork,,,conspiracy theory,,,conspiracy theory,,"Deconspire
yourself."
taglines,False,Broken Things,broken-things-bear-name,/taglines/broken-things-bear-name/,CreativeWork,,,"broken, things, bear, name",,,,,"Broken things
bear my name. "
taglines,False,Where He Died,where-died-place-mountain-arises,/taglines/where-died-place-mountain-arises/,CreativeWork,,,"place, where, died, mountain, arises",,,,,"In the place 
where he died,
a mountain arises."
taglines,False,To Paradise,paradise-arrive-awake,/taglines/paradise-arrive-awake/,Statement,,,"paradise, arrive, awake",https://miro.medium.com/v2/resize:fit:1400/1*Kz6OlNxFTbTXXgglBMdzsA.jpeg,"Puppeteer Walid Rashed performing for kids on top of the ruins of the city. Saraqib, Syria. March 27, 2019. Photograph by Anas Alkharbouti/DPA (Deutsche Picture Alliance)",,,"To paradise 
we don't arrive, 
we awake."
taglines,False,The Flies,flies-know-where-wound,/taglines/flies-know-where-wound/,CreativeWork,,,"flies, know, where, wound",,,,,"The flies 
know 
where is
my wound."
taglines,False,Behind,behind-every-evil-woman-there,/taglines/behind-every-evil-woman-there/,Statement,,,"behind, every, evil, woman, there, asshole",,,,,"Behind
every evil woman,
there's a big
asshole."
taglines,False,Four Kings,four-kings-lost,/taglines/four-kings-lost/,CreativeWork,,,"four, kings, lost",,,,,"They were
four kings,
but one
got lost."
taglines,False,Dan Overcash,dan-overcash-always-broke,/taglines/dan-overcash-always-broke/,CreativeWork,,,"overcash, always, broke",,,,,"Dan Overcash
is always broke."
taglines,False,Our Way,way-play-cheat,/taglines/way-play-cheat/,CreativeWork,,,"play, cheat",,,,,"Let's play it 
our way
so we can cheat."
taglines,False,A Battery,battery-increases-size-order-attract,/taglines/battery-increases-size-order-attract/,CreativeWork,,,"battery, increases, size, order, attract, female, counterpart",,,,,"A battery
increases his size
in order to
attract a female
counterpart."
taglines,False,In the living room,living-room-have-toys-didn,/taglines/living-room-have-toys-didn/,CreativeWork,,,"have, living, room, toys, didn",,,,,"In the living room
I have now
the toys I didn't have
as a kid."
taglines,False,Two seconds ago,two-seconds-ago-river-wasn,/taglines/two-seconds-ago-river-wasn/,CreativeWork,,,"seconds, river, wasn, here",,,,,"Two seconds ago
this river wasn't here."
taglines,False,Mummies,mummies-digitally-reborn,/taglines/mummies-digitally-reborn/,CreativeWork,,,"mummies, digitally, reborn",,,,,"Mummies
digitally
reborn."
taglines,False,"During starry nights,",during-starry-nights-remember-always,/taglines/during-starry-nights-remember-always/,CreativeWork,,,"during, starry, nights, remember, always, spot, darkest, patch",,,,,"During starry nights, 
remember always to spot
the darkest patch."
taglines,False,"Attention is a currency,",attention-currency-always,/taglines/attention-currency-always/,Statement,,,"attention, currency, always",,,,,"Attention is a currency,
you always must 
pay with it."
taglines,False,"For the photon,",photon-still-photography,/taglines/photon-still-photography/,Statement,,,"photon, still, photography",,,,,"For the photon,
we are still photography."
taglines,False,"A house is not a home,",house-home-welcome,/taglines/house-home-welcome/,Statement,,,"house, home, welcome",,,,,"A house is not a home,
if you are not welcome."
taglines,False,Don't wait,don-t-wait-pain-make,/taglines/don-t-wait-pain-make/,CreativeWork,,,"wait, pain, make, sense",,,,,"Don't wait 
""for the pain to make sense"""
taglines,False,"A missing piece,",missing-piece-makes-obsolete-table,/taglines/missing-piece-makes-obsolete-table/,Statement,,,"missing, piece, makes, obsolete, table, game",,,,,"A missing piece,
makes obsolete
the table game."
taglines,False,Reverse Engineer,reverse-engineer-fantasies-romance,/taglines/reverse-engineer-fantasies-romance/,CreativeWork,,,"reverse, engineer, fantasies, romance",,,,,"Reverse Engineer
""the fantasies that you romance to"""
taglines,False,Messenger,messenger-message,/taglines/messenger-message/,Statement,,,"messenger, message",,,,,"Messenger
and Message
are One"
taglines,False,Opium wars,opium-wars-backfire,/taglines/opium-wars-backfire/,CreativeWork,,,"opium, wars, backfire",,,,,"Opium wars
backfire."
taglines,False,Deliver us,deliver-us-anything-like-collect,/taglines/deliver-us-anything-like-collect/,CreativeWork,,,"deliver, anything, like, collect",,,,,"Deliver us
from anything
we would like
to collect."
taglines,False,A basketball's free throw,basketball-s-free-throw-never,/taglines/basketball-s-free-throw-never/,Statement,,,"basketball, free, throw, never, lies",,,,,"A basketball's free throw
never lies."
taglines,False,A gun,gun-retrogrades-bullets-magazine,/taglines/gun-retrogrades-bullets-magazine/,CreativeWork,,,"retrogrades, bullets, magazine",,,,,"A gun
that retrogrades
bullets
to the magazine."
taglines,False,Wish,wish-person-loves-never-becomes,/taglines/wish-person-loves-never-becomes/,CreativeWork,,,"wish, person, loves, never, becomes, invisible",,,,,"Wish
that the person 
who loves you,
never becomes
invisible to you."
taglines,False,Symmetry,symmetry-mirrored-code,/taglines/symmetry-mirrored-code/,Statement,,,"symmetry, mirrored, code",,,,,"Symmetry
is mirrored
code"
taglines,False,"If the audience is too big,",if-audience-big-nothing-important,/taglines/if-audience-big-nothing-important/,Statement,,,"audience, nothing, important, discussed",,,,,"If the audience is too big,
nothing important
is being discussed."
taglines,False,Virus,virus-database-outdated,/taglines/virus-database-outdated/,CreativeWork,,,"virus, database, outdated",,,,,"Virus
database
has been
outdated."
personal-micro-dictionary,False,NEWBORN GAZE:,newborn-gaze-universe-recognizing-itself,/personal-micro-dictionary/newborn-gaze-universe-recognizing-itself/,ShortStory,,,"newborn, gaze, universe, recognizing, itself",,,,,"NEWBORN GAZE:

The universe
recognizing itself."
